[['47.6474811, -124.3864001'], ['non-scenic', 1.1080525e-05], ['nature and woods', 1.0036829e-05], ['nature and woods', 1.5497858e-06]]
[['47.6633078, -124.3935161'], ['nature and woods', 6.9139851e-06], ['nature and woods', 1.7883832e-06], ['nature and woods', 8.3346742e-07]]
[['47.6686372, -124.3955787'], ['nature and woods', 9.7303246e-06], ['nature and woods', 3.1769575e-06], ['nature and woods', 1.5066669e-06]]
[['47.67974239999999, -124.4026446'], ['nature and woods', 4.274735e-05], ['nature and woods', 1.0246026e-05], ['nature and woods', 5.1075235e-06]]
[['47.68868699999999, -124.4089438'], ['fields', 6.7924695e-05], ['nature and woods', 1.2190887e-05], ['nature and woods', 2.9632215e-06]]
[['47.69137809999999, -124.4102405'], ['nature and woods', 6.4915707e-06], ['nature and woods', 4.9214577e-06], ['non-scenic', 4.0604577e-06]]
[['47.6997091, -124.4115641'], ['nature and woods', 8.9482774e-06], ['nature and woods', 1.6609207e-06], ['nature and woods', 1.1438545e-06]]
[['47.7144943, -124.4136735'], ['nature and woods', 9.1043121e-06], ['nature and woods', 4.0694161e-07], ['nature and woods', 3.0729294e-07]]
[['47.715442, -124.4131073'], ['nature and woods', 9.1707079e-06], ['nature and woods', 4.2951848e-07], ['nature and woods', 1.7491527e-07]]
[['47.7458581, -124.4244686'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7838697, -124.4255605'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7840403, -124.4258512'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8108171, -124.4307279'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8147143, -124.4311315'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8198302, -124.4327251'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8365501, -124.4451162'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8415131, -124.4382292'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8490674, -124.4327388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8603862, -124.4323338'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8688315, -124.4335943'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.8778904, -124.4347516'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
