[['46.6248368, -121.4447211'], ['non-scenic', 7.5000702e-05], ['nature and woods', 9.1718284e-06], ['non-scenic', 3.1410179e-06]]
[['46.6249017, -121.4448557'], ['nature and woods', 1.5215723e-05], ['nature and woods', 9.6897502e-06], ['nature and woods', 3.1921246e-07]]
[['46.6251435, -121.4452142'], ['nature and woods', 2.651492e-06], ['nature and woods', 2.502896e-06], ['nature and woods', 2.6774529e-07]]
[['46.62566109999999, -121.4456323'], ['nature and woods', 1.2855941e-05], ['non-scenic', 4.8969791e-06], ['nature and woods', 4.2632082e-06]]
[['46.6401743, -121.4565126'], ['nature and woods', 5.0945328e-06], ['nature and woods', 3.5316236e-06], ['nature and woods', 1.2707674e-06]]
[['46.64161600000001, -121.4580147'], ['nature and woods', 1.8368797e-05], ['nature and woods', 1.6474583e-05], ['nature and woods', 1.6409587e-05]]
[['46.6501971, -121.4656959'], ['nature and woods', 7.0369751e-05], ['nature and woods', 6.5043387e-05], ['nature and woods', 1.9409613e-06]]
[['46.6545359, -121.4720511'], ['nature and woods', 8.0974705e-06], ['nature and woods', 7.1750264e-06], ['nature and woods', 3.4113643e-06]]
[['46.6605688, -121.4780679'], ['nature and woods', 1.5172413e-05], ['nature and woods', 5.9955451e-06], ['nature and woods', 1.0629424e-06]]
[['46.66511690000001, -121.4830018'], ['non-scenic', 0.00010825556], ['nature and woods', 3.1476388e-06], ['nature and woods', 9.2325325e-07]]
[['46.6848263, -121.4698576'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.69093489999999, -121.4725829'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.6943299, -121.4801123'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7041943, -121.4807357'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7101343, -121.485751'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7127565, -121.4897715'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.7422117, -121.4917531'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['46.8308776, -121.5190423'], ['non-scenic', 0.00029375299], ['nature and woods', 9.7557245e-07], ['nature and woods', 5.4590396e-07]]
