[['47.1058834, -124.1779035'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['water', 0.00011504719]]
[['47.15623, -124.1901647'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.16973480000001, -124.1930172'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['water', 0.00011504719]]
[['47.1880075, -124.1989292'], ['non-scenic', 7.8366465e-05], ['non-scenic', 3.2177275e-05], ['non-scenic', 7.5214834e-06]]
[['47.2064035, -124.2034897'], ['fields', 0.00016191159], ['non-scenic', 0.00013038146], ['non-scenic', 0.00011085517]]
[['47.214549, -124.2058522'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.221143, -124.208075'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.23190839999999, -124.2134876'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.2391899, -124.2149816'], ['non-scenic', 0.00026440385], ['fields', 2.3857587e-05], ['fields', 1.9907811e-05]]
[['47.24876080000001, -124.2131966'], ['nature and woods', 4.1446965e-06], ['nature and woods', 1.9406943e-06], ['nature and woods', 1.9129707e-06]]
[['47.2547895, -124.2189475'], ['nature and woods', 5.7398938e-06], ['nature and woods', 3.3348585e-06], ['nature and woods', 1.226819e-06]]
