[['47.5361868, -122.2411927'], ['non-scenic', 0.0022221063], ['nature and woods', 0.00076677534], ['non-scenic', 0.00047564841]]
[['47.5444219, -122.2363272'], ['non-scenic', 0.00042343984], ['non-scenic', 2.2764736e-05], ['non-scenic', 1.4102669e-05]]
[['47.55309889999999, -122.2466236'], ['water', 0.00016873775], ['nature and woods', 1.6197064e-05], ['nature and woods', 5.3372614e-06]]
[['47.5665298, -122.2322493'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5730014, -122.239576'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.5812196, -122.2414949'], ['non-scenic', 0.00046474999], ['non-scenic', 0.00031248276], ['non-scenic', 0.00020846124]]
[['47.5899219, -122.2412069'], ['non-scenic', 0.00048594779], ['non-scenic', 0.00017209038], ['nature and woods', 5.2639301e-05]]
[['47.595251, -122.2430743'], ['nature and woods', 0.00068552513], ['non-scenic', 0.00021901962], ['water', 8.3392661e-05]]
[['47.6152242, -122.2389145'], ['non-scenic', 0.00088319351], ['non-scenic', 0.00010571021], ['non-scenic', 4.1986459e-05]]
[['47.6178451, -122.240369'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6260805, -122.2412026'], ['non-scenic', 0.0011692636], ['non-scenic', 0.00024706274], ['nature and woods', 1.6492289e-05]]
[['47.6359, -122.239794'], ['non-scenic', 0.037564784], ['non-scenic', 0.0029658417], ['non-scenic', 0.00058623217]]
[['47.642909, -122.2402667'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6510073, -122.2299737'], ['non-scenic', 4.6355635e-05], ['non-scenic', 2.4044337e-05], ['non-scenic', 2.2628519e-05]]
[['47.6705858, -122.2550312'], ['non-scenic', 0.0019564354], ['non-scenic', 0.00043778718], ['nature and woods', 1.44152e-05]]
[['47.6754277, -122.2506452'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6808758, -122.2475664'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.6845248, -122.2514772'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.69997, -122.238922'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7072252, -122.241205'], ['non-scenic', 9.0782596e-05], ['nature and woods', 3.1668893e-05], ['nature and woods', 1.4703065e-05]]
[['47.7160634, -122.2403124'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['47.7248653, -122.241369'], ['nature and woods', 2.2253419e-06], ['nature and woods', 2.0031976e-06], ['nature and woods', 4.350205e-07]]
[['47.7341884, -122.2412623'], ['non-scenic', 0.0010053719], ['non-scenic', 0.00072370737], ['non-scenic', 0.00060469972]]
[['47.7430213, -122.2412132'], ['non-scenic', 5.3121417e-05], ['nature and woods', 4.1438208e-05], ['non-scenic', 5.053173e-06]]
[['47.75157, -122.241259'], ['nature and woods', 2.8681113e-06], ['nature and woods', 2.8198397e-06], ['nature and woods', 1.3322567e-06]]
[['47.7605466, -122.243232'], ['non-scenic', 0.011757706], ['non-scenic', 0.0020405815], ['non-scenic', 0.0012305417]]
[['47.7696598, -122.2404868'], ['non-scenic', 0.0017663293], ['nature and woods', 0.00039642226], ['non-scenic', 7.8904952e-05]]
[['47.7790794, -122.2415956'], ['nature and woods', 0.000337559], ['nature and woods', 5.0843413e-05], ['non-scenic', 1.036106e-05]]
[['47.7882823, -122.2439388'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
