[['48.0242557, -120.6477339'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.19056519999999, -120.6289554'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1907179, -120.6261692'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1908043, -120.6252731'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1909207, -120.623605'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1934576, -120.6155548'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.1936855, -120.6148387'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.201724, -120.599021'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3074526, -120.6549332'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.30749530000001, -120.6548666'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3076052, -120.6548597'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3110042, -120.6556926'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3135963, -120.658106'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3150239, -120.6601009'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.3155142, -120.6608324'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.4614951, -120.5780855'], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719], ['non-scenic', 0.00011504719]]
[['48.5143254, -120.6432907'], ['non-scenic', 0.00022642633], ['non-scenic', 1.5408428e-05], ['non-scenic', 9.9816571e-06]]
[['48.5143813, -120.6430811'], ['non-scenic', 0.00033848122], ['non-scenic', 1.8853609e-05], ['non-scenic', 5.7523853e-06]]
[['48.5144798, -120.6428319'], ['non-scenic', 0.00015148889], ['non-scenic', 2.8665932e-05], ['non-scenic', 9.3310964e-06]]
[['48.51477879999999, -120.6424561'], ['non-scenic', 5.2579766e-05], ['non-scenic', 3.3760061e-05], ['non-scenic', 2.1215785e-05]]
[['48.5153443, -120.642273'], ['nature and woods', 6.6922046e-05], ['non-scenic', 2.1006039e-05], ['non-scenic', 4.841865e-07]]
